Needs_Met_Yesno,Cash_Modality_Yesno,Community_Priorities,Inclusion_Yes_No,Yes_No
Education,Prefer current modality,More aid,Opportunity to give opinions,Yes
Food,Safety ,Need money,Not received cash,No
Children's needs,Access and use mobile phones,Need food,Lack of information,
Family needs,Easy access,Business,,
Amount not sufficient,Inclusive access,Rent,,
Closure of roads,Prevents corruption ,Clothes,,
Drought,Long queues ,Health services,,
Aid not received,Security concerns,Education,,
Access to aid,Delays in the program,Water,,
Ambivalent,Distance,Continuation of cash transfer,,
,Ambivalent,Peace,,
,Other,Employment,,
,Shelter,,,
